SiteCode,Exclude,Exclude_reason,CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier
AU-Cpr,FALSE,NA,NA,The measurement site is located on Calperum Station. The site is in a semi-arid mallee ecosystem north of the River Murray near Chowilla. This is a former sheep grazing property that has been destocked and is being managed as a conservation area in this type of ecosystem. The landscape is flat with a series of low eastÐwest sand dunes. The dunes are remnants of a previous dry era and are mostly now stabilised by mallee (multi-stemmed Eucalypt trees) and various shrubs. It is a semi-arid environment fringing the River Murray floodplains of the Riverland.,"Active, core measurements presently being made",Australia,Calperum,-34.00206,140.58912,76,SAV,Savannas,NA,NA,1
AU-Ctr,NA,NA,2,"Daintree rainforest, 100 km N of Cairns, QLD, tropical","Active, core measurements presently being made",Australia,Cape Tribulation,-16.10328,145.44686,66,EBF,Evergreen Broadleaf Forest,NA,NA,NA
AU-Cum,FALSE,NA,2,"The Cumberland Plain flux station is located in a dry sclerophyll forest in the Hawkesbury Valley in central New South Wales. The Cumberland Plain Woodland is now an endangered ecological community that encompasses distinct groupings of plants growing on clayey soils. The canopy is dominated by Eucalyptus moluccana and Eucalyptus fibrosa, which host an expanding population of mistletoe. Average canopy height is 23m, the elevation of the site is 20m and mean annual precipitation is 800mm.","Active, core measurements presently being made",Australia,Cumberland Plains,-33.613297,150.722466,200,EBF,Evergreen Broadleaf Forests,30,23,1
AU-DaP,FALSE,NA,NA,"The Daly River Pasture flux station was located 62km south west of Pine Creek, Northern Territory.ÊThe flux tower site was identified as tropical pasture, and the vegetation was dominated by species Chamaecrista rotundifolia (Round-leaf cassia cv. Wynn), Digitaria milijiana (Jarra grass) and Aristida sp. standing at approximately 0.3m tall. The soil at the site was a mixture of red kandosol and deep sand.","Inactive, core measurements no longer being made",Australia,Daly River Savanna,-14.0633,131.3181,116,GRA,Grasslands,15,0.3,1
AU-DaS,FALSE,NA,NA,"The Daly River Uncleared flux tower site is located in the Douglas River Daly River Esplanade Conservation area, approximately 60 km south west of Pine Creek, Northern Territory. The flux tower site is classified as a Woodland savanna. The overstory is co dominated by tree species E. tetrodonta, C. latifolia, Terminalia grandiflora, Sorghum sp. and Heteropogon triticeus. Average canopy height measures 16.4 m. ","Active, core measurements presently being made",Australia,Daly River Cleared,-14.159283,131.388,108,SAV,Savannas,23,16.4,1
AU-Drg,NA,NA,5,"The Dargo High Plains flux station is located in high elevation (1650m), sub-alpine grassland in North-East Victoria  The site is a naturally occurring open grass/herb-field classified as sod tussock grassland.  The dominant species is comprised of various Poa spp.  Surrounding the open grasslands are ridge top distributions of Eucalyptus pauciflora spp. niphophila/Eucalyptus pauciflora spp. pauciflora.  The high country is characterised by elevated plateaus with steep montane country.   Various eucalypts form a replacement series with decreasing elevation.  This site is seasonally grazed and also hosts long-term research plots established by the Bushfire CRC to robustly examine effects of fire and grazing in the sub-alpine.  The instrument tripod is 3m tall with a supplemental 4m guyed mast for radiation sensors.  Fluxes of carbon dioxide, water vapour and heat are quantified with open-path eddy covariance instrumentation.   Ancillary measurements include temperature, air humidity, wind speed and direction, precipitation, incoming and outgoing shortwave radiation, incoming and outgoing long wave radiation, incoming total and diffuse PAR and reflected PAR.   Soil water content and temperature are measured at six soil depths.  Surface soil heat fluxes are also measured.","Active, core measurements presently being made",Australia,Dargo High Plains,-37.1334,147.171,1309,CSH,Closed Shrublands,NA,NA,NA
AU-Dry,FALSE,NA,NA,"The Dry River flux station is located approximately 89km south of Katherine, Northern Territory","Active, core measurements presently being made",Australia,Dry River,-15.2588,132.3706,191,SAV,Savannas,15,12.3,1
AU-Emr,FALSE,NA,NA,NA,NA,Australia,"Emerald, Queensland, Australia",-23.8587,148.4746,177,GRA,Grasslands,NA,NA,1
AU-Fac,NA,NA,5,"Falls Creek is currently Inactive, core measurements no longer being made.  This site began collecting data in 2006 and is located in Australia.","Inactive, core measurements no longer being made",Australia,Falls Creek,-36.86687,147.34577,1473,CSH,Closed Shrublands,NA,NA,NA
AU-Fog,FALSE,NA,11,"The Fogg Dam flux station was located approximately 6km east of Black Jungle, Northern Territory. The flux tower site was classified as a seasonally flooded wetland. The vegetation was dominated by species Oryza rufipogon, Pseudoraphis spinescens and Eleocharis dulcis.Ê","Active, core measurements presently being made",Australia,Fogg Dam,-12.5452,131.3072,25,WET,Permanent Wetlands,15,NA,1
AU-Gin,FALSE,NA,NA,"The Gnangara flux station is located in coastal heathÊBanksiaÊwoodland on the Swan Coastal Plain 70km north of Perth, Western Australia. The site is a natural woodland of high species diversity. The overstorey is dominated by Banksia spp. mainly B. menziesii, B. attenuata, and B. grandis with a height of around 7m and leaf area index of about 0.8. There are occasional stands of eucalypts and acacia that reach to 10m and have a denser foliage cover. The soils are mainly Podosol sands, with low moisture holding capacity. Field capacity typically about 8 to 10%, and in summer these generally hold less than 2% moisture.","Active, core measurements presently being made",Australia,Gingin,-31.375,115.65,51,WSA,Woody Savannas,14,7,1
AU-GWW,FALSE,NA,NA,"The flux site is located in Salmon gum (Eucalyptus salmonophloia) woodland in the northern part of the Great Western Woodlands, at mean annual rainfall of c. 240mm.","Active, core measurements presently being made",Australia,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,504,SAV,Savannas,NA,NA,1
AU-How,FALSE,NA,NA,"The Howard Springs flux station is located in the Black Jungle Conservation Reserve in the Northern Territory. The flux tower site is classified as an open woodland savanna. The overstory is co-dominated by tree species Eucalyptus miniata and Eucalyptus tentrodonata, and average tree height is 14Ð16m.","Active, core measurements presently being made",Australia,Howard Springs,-12.4952,131.15,41,WSA,Woody Savannas,23,16,1
AU-Jan,NA,NA,5,"100 km NW of Bourke, NSW, rangeland (dry savannah woodland)","Inactive, core measurements no longer being made",Australia,Janina,-30.07667,144.13639,87,OSH,Open Shrublands,NA,NA,NA
AU-Lox,FALSE,NA,4,NA,NA,Australia,Loxton,-34.4704,140.6551,62,DBF,Deciduous Broadleaf Forests,NA,NA,1
AU-Meb,NA,NA,NA,"The Preston flux tower is one of four sites that were established as part of this experiment, and is located in a  high-medium density residential area north of Melbourne CBD.","Active, core measurements presently being made",Australia,Melbourne (Preston),-37.73056,145.01468,107,NA,Urban and Built-Up,NA,NA,NA
AU-Nim,NA,NA,NA,"The Nimmo High Plains flux station is located in high elevation (1340m), sub-alpine grassland in southern NSW.  The site is a naturally occurring open grass/herb-field classified as sod tussock grassland. The dominant species is comprised of various Poa spp. Surrounding the open grasslands are ridge top distributions of Eucalyptus pauciflora spp. niphophila/Eucalyptus pauciflora spp. pauciflora. This site is seasonally grazed and also hosts additional seasonal campaigns looking at soil derived fluxes of greenhouse gases and additional measures of evapotranspiration (i.e. scintillometer measurements)  The instrument tripod is 3m tall with a supplemental 4m guyed mast for radiation sensors. Fluxes of carbon dioxide, water vapour and heat are quantified with open-path eddy covariance instrumentation.  Ancillary measurements include temperature, air humidity, wind speed and direction, precipitation, incoming and outgoing shortwave radiation, incoming and outgoing long wave radiation, incoming total and diffuse PAR and reflected PAR.  Soil water content and temperature are measured at six soil depths. Surface soil heat fluxes are also measured.","Active, core measurements presently being made",Australia,Nimmo Plains,-36.2159,148.5525,1247,GRA,Grasslands,NA,NA,NA
AU-Otw,NA,NA,6,"The Otway flux station is located at Narrinda South in south west Victoria, Australia (elevation 54m).  The pasture is grazed by dairy cattle with average grass height of 0.1m.  Annual average rainfall at the site is around 800mm and is only moderately seasonal. Mean daily temperature ranges from 25å¡C in February to 12å¡C in July.  The flux station is situated on a 10m tower. Fluxes of heat, water vapour and carbon dioxide are measured using the open-path eddy covariance technique. Supplementary measurements include temperature, humidity, rainfall, total solar, photosynthetically active radiation (PAR) and net radiation. Soil temperature and heat flux are also measured.","Active, core measurements presently being made",Australia,Otway,-38.53234,142.81681,6,CRO,Croplands,NA,NA,NA
AU-RDF,FALSE,NA,NA,NA,NA,Australia,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,237,WSA,Woody Savannas,NA,NA,1
AU-Rgf,NA,NA,NA,"The Ridgefield flux station is located approximately 12km west of Pingelly, near Perth, Western Australia.  The site is established in a typical wheat field (a dominant managed land use type in Western Australia) and in an area that has been subject to extensive clearing. The flux tower site is located within an area of dryland agriculture. The instrument mast is 10 meters tall. Heat, water vapour, carbon dioxide and methane measurements are taken using the open-path eddy flux technique.","Active, core measurements presently being made",Australia,Ridgefield,-32.5061,116.96683,NA,CRO,Croplands,NA,NA,NA
AU-Rig,FALSE,NA,NA,"The Riggs Creek flux station is located within the Goulburn-Broken catchment, approximately 40km south east of Shepparton, Victoria. The flux tower site is located within an area of dryland agriculture. The surrounding area is dominated by broadacre farming practices. The vegetation cover is predominantly pasture. The instrument mast is 4 meters tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique.","Active, core measurements presently being made",Australia,Riggs Creek,-36.6499,145.5759,133,GRA,Grasslands,4,NA,1
Au-Rob,NA,NA,2,"The Robson Creek flux station commenced continuous collection of data on 1st August 2013. The flux tower and is located at Robson Creek, 24 km northeast of Atherton on the western slopes of the Lamb Range in Danbulla National Park, within the Wet Tropics World Heritage Area. It is managed by James Cook University external link. The site is part funded by the Terrestrial Ecosystem Research Network (TERN) as a TERN Ozflux station and forms part of the FNQ Rainforest SuperSites.","Active, core measurements presently being made",Australia,Robson Creek,-17.11744,145.63017,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
AU-Rob,FALSE,NA,2,"The Robson Creek tower is located in tropical rainforest, approximately 30 km northwest of Atherton in Far North Queensland. Vegetation type: the forest is mapped as Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest (Queensland Government 2006). The forest type changes to RE 7.12.16a, simple to complex notophyll vine forest, with increasing altitude to the north of the 25Ha plot. In structure the forest is very tall to extremely tall closed forest with canopy heights ranging from 23 to 44 m","Active, core measurements presently being made",Australia,"Robson Creek, Queensland, Australia",-17.1175,145.6301,710,EBF,Evergreen Broadleaf Forests,NA,44,1
AU-Stp,FALSE,NA,NA,"The Sturt Plains flux station is located approximately 280km north of Tennant Creek, Northern Territory. The flux tower site is 280km north of Tennant Creek, amongst a low lying plain dominated by Mitchell Grass (gen. Astrebla). Elevation of the site is close to 250m and mean annual precipitation at a nearby Bureau of Meteorology site is 640mm. Maximum temperatures range from 28.4å¡C (in June/ July) to 39.1å¡C (in December), while minimum temperatures range from 11.2å¡C (in July) to 24.4å¡C (in December). The instrument mast is 5 meters tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall and net radiation are measured. Soil heat fluxes are measured and soil moisture content is gathered using time domain reflectometry. Ancillary measurements taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, N and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out across the transect in September 2008.","Active, core measurements presently being made",Australia,Sturt Plains,-17.1507,133.3502,252,GRA,Grasslands,5,NA,1
AU-TTE,FALSE,NA,5,"The Ti Tree East flux station is located on Pine Hill cattle station in the Northern Territory. The site is a mosaic of the primary semi-arid biomes of central Australia: grassy mulga woodland and Corymbia/Triodia savanna. The woodland is characterised by a mulga (Acacia aneura) canopy, which is 4.85 m tall on average. The soil is red sand overlying an 8 m deep water table.","Active, core measurements presently being made",Australia,Ti Tree East,-22.287,133.64,553,OSH,Open Shrublands,10,4.85,1
AU-Tum,FALSE,NA,2,"The Tumbarumba flux station is located in the Bago State forest in south eastern New South Wales. The forest is classified as wet sclerophyll, the dominant species is Eucalyptus delegatensis, and average tree height is 40m.","Active, core measurements presently being made",Australia,Tumbarumba,-35.6566,148.1517,1200,EBF,Evergreen Broadleaf Forests,70,40,1
AU-Vir,NA,NA,NA,"40 km NE of Chartres Towers, QLD.  The Virginia Park flux station was located on a cattle grazing property near Charters Towers, Queensland. The Eucalyptus trees in this wet-dry tropical savannah ecosystem were 8-10m tall and the height of the instrument mast was 27m. Elevation of the site was 200m and mean annual precipitation was 700mm, falling predominantly in the wet season (November - March) and highly variable in time and space.","Inactive, core measurements no longer being made",Australia,Virginia Park,-19.88333,146.55389,305,SAV,Savannas,NA,NA,NA
AU-Wac,FALSE,NA,2,"The Wallaby Creek flux station was located in Kinglake National Park, Victoria, South Eastern Australia. The site was approximately 45km north east of Melbourne, at an elevation of approximately 720 metres, and was located on the southern edge of the Hume Plateau. The catchment area was dominated by Eucalyptus Regnans or Mountain Ash, the world's tallest flowering plant (angiosperm). Trees can reach heights of more than 90 metres growing in areas with high rainfall and fertile soil. The tower itself was located within an old growth stand with individual trees as old as 300 years. The forest was classed as a tall, wet sclerophyll forest, and the dominant Mountain Ash trees had an average canopy height of 75m. Below the dominant canopy lay a temperate rainforest understorey consisting of Pomaderris aspera and Olearia argophylla species, which were 10-18 metres tall. The lower layers of vegetation were dominated by tree ferns (Cyathea australis and Dicksonia antartica) and extensive tracts of rosette and rhizonic ferns (Polystichum proliferum and Blechnum wattsii) as well as Acacia trees. Bushfires swept through the region in January 2009 destroying the tower. Data from the site was recorded from May 2010 to 2016. The post fire instrumentation was not as diverse when compared to the pre fire instrumentation.","Inactive, core measurements no longer being made",Australia,Wallaby Creek,-37.429,145.18725,562,EBF,Evergreen Broadleaf Forests,110,75,1
AU-Whr,FALSE,NA,2,"The Whroo flux station is located approximately 45km south west of Shepparton, Victoria. It was established in October 2011. The flux tower site was classified as box woodland. The vegetation is dominated by two main Eucalypt species: Eucalyptus microcarpa (Grey Box) and Eucalyptus leucoxylon (Yellow Gum). Smaller numbers of Eucalyptus sideroxylon (Ironbark) and Acacia pycnantha (Golden Wattle) are also found on site. The instrument mast is 36m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique.","Active, core measurements presently being made",Australia,Whroo,-36.6732,145.0294,152,EBF,Evergreen Broadleaf Forests,36,NA,1
AU-Wom,FALSE,NA,2,"The Wombat Flux research site was established in January 2010. The site is located within the Wombat State Forest, between Ballarat and Daylesford in Central Victoria, 100km west of Melbourne. The Wombat Forest research site is located in the Wombat State Forest, Victoria, South Eastern Australia at an elevation of 713m. The site is a secondary re-growth forest that was last harvested in 1980. Dominant tree species are Eucalyptus obliqua (messmate stringybark), Eucalyptus radiata (narrow leaf peppermint) and Eucalyptus rubida (candlebark) with an average canopy height of 25m. The understorey consists mainly of patchy grasses and the soil is a silty-clay overlying clay. The forest is managed by the Department of Sustainability and Environment and management includes selective harvesting and prescribed burning regimes. The climate of the study area is classified as cool-temperate to Mediterranean zone with cold and wet winters (May-Aug) and warm and dry summers (Dec-Feb). Mean annual rainfall in the region in the last 20 years was between 600-700 mm.","Active, core measurements presently being made",Australia,Wombat,-37.4222,144.0944,705,EBF,Evergreen Broadleaf Forests,NA,25,1
AU-Ync,FALSE,NA,NA,"The flux tower monitoring system is located within the Yanco region of New South Wales, Australia. This is a topographically flat area, primarily comprised of the following soil types: sandy loams, scattered clays, red brown earths, transitional red brown earth, sands over clay and deep sands. Stream valleys and layered soil and sedimentary materials are found across the landscape.","Active, core measurements presently being made",Australia,Jaxa,-34.9893,146.2907,125,GRA,Grasslands,NA,NA,1
BD-Mym,NA,NA,NA,NA,"Active, core measurements presently being made",Bangladesh,Mymensingh Flux Study Site,24.73935,90.42629,NA,CRO,Croplands,NA,NA,NA
BE-Bra,FALSE,NA,NA,"20 km NNE of Antwerp, planted stand with traditional forest management, all undergrowth was completely removed in 1993","Active, core measurements presently being made",Belgium,Brasschaat,51.309167,4.52056,16,MF,Mixed Forests,39,NA,1
BE-Dor,NA,NA,9,NA,"Active, core measurements presently being made",Belgium,Dorinne,50.31171,4.96831,NA,CRO,Croplands,NA,NA,NA
BE-Jal,NA,NA,NA,"Jalhay is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Belgium.","Active, core measurements presently being made",Belgium,Jalhay,50.56389,6.07333,496,MF,Mixed Forests,NA,NA,NA
BE-Lcr,NA,NA,9,NA,"Active, core measurements presently being made",Belgium,Lochristi,51.1,3.85,NA,CRO,Croplands,NA,NA,NA
BE-Lon,FALSE,NA,9,"Agricultural site with a rotation of 4 years, cultivated for more than 70 years","Active, core measurements presently being made",Belgium,Lonzee,50.55159,4.74613,167,CRO,Croplands,NA,NA,1
BE-Maa,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Belgium,Maasmechelen,50.98044,5.63131,NA,WSA,Woody Savannas,NA,NA,NA
BE-Vie,FALSE,NA,NA,"In 1882, the stand was sparsely planted with Scots pine.  Beeches were planted in 1908 in the undercover.  In the same year, four 100 m^2 circular plots of silver fir were planted.  Douglas firs were planted in 1935 and 1937 and in 1950, 1960, and 1961 to  Planted stand with traditional forest management","Active, core measurements presently being made",Belgium,Vielsalm,50.30507,5.99805,493,MF,Mixed Forests,40,NA,1
BF-Bon,NA,NA,NA,"Bontioli is currently Inactive, core measurements no longer being made.  This site began collecting data in 2004 and is located in Burkina Faso.","Inactive, core measurements no longer being made",Burkina Faso,Bontioli,10.86556,-3.07278,289,SAV,Savannas,NA,NA,NA
BF-Btd,NA,NA,NA,"Boudtenga is currently Active, core measurements presently being made.  This site began collecting data in 2006 and is located in Burkina Faso.","Active, core measurements presently being made",Burkina Faso,Boudtenga,12.46,-1.25,281,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
BJ-Nan,NA,NA,NA,"Nangatchori is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Benin.","Active, core measurements presently being made",Benin,Nangatchori,9.64698,1.74088,397,SAV,Savannas,NA,NA,NA
BR-Afs,NA,NA,2,"Atlantic Forest Sao Paulo is currently Active, core measurements presently being made.  This site began collecting data in 2006 and is located in Brazil.","Active, core measurements presently being made",Brazil,Atlantic Forest Sao Paulo,-23.32847,-45.09311,975,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Ban,NA,NA,2,"Ecotone Bananal Island is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Brazil.","Active, core measurements presently being made",Brazil,Ecotone Bananal Island,-9.82442,-50.15911,163,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Bra,NA,NA,NA,"Mangrove.  Continuous measurements made since December 5, 2000 of CO2, water vapor and energy fluxes, as well as meteorological variables.  Part of a project Ecobioma for which he is the coordinator.  The project is a collaboration between Federal University of Vicosa, Federal University of Para, and University of Edinburgh.","Active, core measurements presently being made",Brazil,Braganca (Para),-0.72371,-48.5081,2,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
BR-Cax,NA,NA,2,"The FLONA Caxiuana is an undisturbed and protected national rainforest near the mouth of the Amazon River in the state of ParÌÁ, near Almeirim.  It is located some 350 km west of BelÌ©m on the ParÌÁ River and just east of the Xingu River.  The 33,000 ha ecological station lies within this larger national forest (200,000 ha).  CaxiuanÌ£ is also one of the EUSTACH study sites (EUSTACH web page at http://www.mpch-mainz.mpg.de/~eustach/sites/sites.htm)","Active, core measurements presently being made",Brazil,Caxiuana Forest-Almeirim,-1.71972,-51.45898,1,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Euc,NA,NA,2,"Eucaliptus Sao Paulo is currently Active, core measurements presently being made.  This site began collecting data in 2006 and is located in Brazil.","Active, core measurements presently being made",Brazil,Eucaliptus Sao Paulo,-21.5835,-47.60231,669,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Ji1,NA,NA,NA,"Cleared forest, pasture.  A pasture site will be located in the IgarapÌ© Lourdes Indian Reservation, which is about 30 km northwest of Ji-ParanÌÁ at Fazenda Nossa Senhora Aparecida. The tower is operated by ABRACOS.","Active, core measurements presently being made",Brazil,Rond.- Faz. Nossa Senhora-Ji Parana-pasture,-10.76181,-62.35722,290,SAV,Savannas,NA,NA,NA
BR-Ji2,NA,NA,2,"Ji-Parana is about 165 km southwest of Ariquemes in central RondÌ«nia, and it is located on BR 364 near the Ji-ParanÌÁ River.  The tower site is located in the Jaru Biological Reserve, which is about 50 km northwest of Ji-ParanÌÁ.","Active, core measurements presently being made",Brazil,Rond.- Rebio Jaru Ji Parana- Tower A,-10.08319,-61.9309,195,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Ji3,NA,NA,2,"Ji-Parana is about 165 km southwest of Ariquemes in central RondÌ«nia, and it is located on BR 364 near the Ji-ParanÌÁ River.  The tower site is located in the Jaru Biological Reserve, which is about 50 km northwest of Ji-ParanÌÁ.","Active, core measurements presently being made",Brazil,Rond.- Rebio Jaru Ji Parana- Tower B,-10.07806,-61.9331,196,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Ma1,NA,NA,2,The National Institute of Amazon Research (INPA) forest management area and tower site. This area is also planned as an EUSTACH study site.,"Active, core measurements presently being made",Brazil,Manaus - ZF2 C14,-2.5892,-60.1149,91,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Ma2,NA,NA,2,"Manaus - ZF2 K34 is currently Active, core measurements presently being made.  This site began collecting data in 1999 and is located in Brazil.","Active, core measurements presently being made",Brazil,Manaus - ZF2 K34,-2.6091,-60.2093,67,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Mtg,NA,NA,2,"This study area is located near the city of Sinop in NW Mato Grosso, Brazil.","Active, core measurements presently being made",Brazil,Sinop- Mato Grosso,-11.41229,-55.3247,280,EBF,Evergreen Broadleaf Forest,NA,NA,NA
BR-Pan,NA,NA,NA,"Pandeiros is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Brazil.","Active, core measurements presently being made",Brazil,Pandeiros,-14.84828,-43.98797,465,WSA,Woody Savannas,NA,NA,NA
