,SiteCode,Exclude,Exclude_reason,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,Tier,MeasurementHeight,TowerHeight,CanopyHeight,VegetationDescription,SoilType,Disturbance,CropDescription,Irrigation,Reference
24,AU-DaP,FALSE,NA,7,1,"Anna (see ref, C4 fraction from International Satellite Land Surface Climatology
381 Project Initiative II)",,"Inactive, core measurements no longer being made",Australia,Daly River Savanna,-14.0633,131.3181,116,GRA,Grasslands,1,5,5,0.5,"Tropical pasture. Dominated by species Chamaecrista  rotundifolia (Round-leaf cassia cv. Wynn), Digitaria milijiana (Jarra grass) and Aristida sp.",Mixture of red kandosol and deep sand,NA,NA,NA,"Beringer, J., Hutley, L. B., Hacker, J. M., Neininger, B. and Paw U, K. T.: Patterns and processes of carbon, water and energy cycles across northern Australian landscapes: From point to region, Agric. For. Meteorol., 151(11), 1409–1416, 2011a."
25,AU-DaS,FALSE,NA,"2,7,14","0.09,0.8,0.11","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)","The instrument mast was 35m tall. Heat, water vapour, and carbon dioxide measurements were taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, soil heat fluxes, soil temperature, and soil moisture content were also collected.","Active, core measurements presently being made",Australia,Daly River Cleared,-14.159283,131.388,108,SAV,Savannas,1,21,23,16.4,"The overstory is co dominated by tree species E. tetrodonta, C. latifolia, Terminalia grandiflora, Sorghum sp. and Heteropogon triticeus.",Red kandasol,NA,NA,NA,"Hutley, L. B., Beringer, J., Isaac, P. R., Hacker, J. M. and Cernusak, L. A.: A sub-continental scale living laboratory: Spatial patterns of savanna vegetation over a rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1417–1428, 2011."
26,AU-Drg,NA,NA,5,,,"The Dargo High Plains flux station is located in high elevation (1650m), sub-alpine grassland in North-East Victoria  The site is a naturally occurring open grass/herb-field classified as sod tussock grassland.  The dominant species is comprised of various Poa spp.  Surrounding the open grasslands are ridge top distributions of Eucalyptus pauciflora spp. niphophila/Eucalyptus pauciflora spp. pauciflora.  The high country is characterised by elevated plateaus with steep montane country.   Various eucalypts form a replacement series with decreasing elevation.  This site is seasonally grazed and also hosts long-term research plots established by the Bushfire CRC to robustly examine effects of fire and grazing in the sub-alpine.  The instrument tripod is 3m tall with a supplemental 4m guyed mast for radiation sensors.  Fluxes of carbon dioxide, water vapour and heat are quantified with open-path eddy covariance instrumentation.   Ancillary measurements include temperature, air humidity, wind speed and direction, precipitation, incoming and outgoing shortwave radiation, incoming and outgoing long wave radiation, incoming total and diffuse PAR and reflected PAR.   Soil water content and temperature are measured at six soil depths.  Surface soil heat fluxes are also measured.","Active, core measurements presently being made",Australia,Dargo High Plains,-37.1334,147.171,1309,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
27,AU-Dry,FALSE,NA,"2,7,14","0.07,0.76,0.17","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)","The Dry River flux station is located approximately 89km south of Katherine, Northern Territory","Active, core measurements presently being made",Australia,Dry River,-15.2588,132.3706,191,SAV,Savannas,1,15,15,12.3,"Open forest savanna. The overstory is co-dominated by tree species E. tetrodonta, E. dichromophloia,  C. terminalis, Sorghum intrans, S.  plumosum, Themeda triandra and Chrysopogon fallax.",Red kandosol with ironstone gravels,"Grazing, native pastures, low stocking density",NA,NA,"Cernusak, L. A., Hutley, L. B., Beringer, J., Holtum, J. A. M. and Turner, B. L.: Photosynthetic physiology of eucalypts along a sub-continental rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1462–1470, 2011."
28,AU-Emr,FALSE,NA,"6,7","0.64,0.36","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology
381 Project Initiative II)",NA,NA,Australia,"Emerald, Queensland, Australia",-23.8587,148.4746,177,GRA,Grasslands,1,5.6,6.7,0.6,The land use in the surrounding area was largely cropping (predominantly chickpeas or wheat) and grazed pasture (cattle),NA,NA,NA,NA,"Schroder, I., Kuske, T. and Zegelin, S.: Eddy Covariance Dataset for Arcturus (2011-2013), Geoscience Australia, Canberra, , doi:102.100.100/14249, 2014."
29,AU-Fac,NA,NA,5,,,"Falls Creek is currently Inactive, core measurements no longer being made.  This site began collecting data in 2006 and is located in Australia.","Inactive, core measurements no longer being made",Australia,Falls Creek,-36.86687,147.34577,1473,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
30,AU-Fle,NA,NA,"2,7","0.5,0.5",Anna (guestimate based on info on TERN website),"TERN�s Fletcherview Tropical Rangeland SuperSite is located at�James Cook University�s Fletcherview Research Station, two hours west of Townsville.",NA,Australia,Fletcherview Tropical Rangeland,-19.887285,146.189138,261,SAV,Savannas,NA,NA,25,12,"Semi-arid savanna (Reid River Box (Eucalyptus brownii), Currant bush (Carissa lanceolata), Perennial Grasses (Bothriochloa pertusa dominant))","Black vertisol, cracking clay",,,,
31,AU-Fog,FALSE,NA,11,1,IGBP,"The Fogg Dam flux station was located approximately 6km east of Black Jungle, Northern Territory (GPS coordinates: -12.5452, 131.3072).","Active, core measurements presently being made",Australia,Fogg Dam,-12.5452,131.3072,25,WET,Permanent Wetlands,1,14.5,15,0.5,"Seasonally flooded wetland. Flora in medium to deep water (1-1.5 m depth in places at wet season maxima) including Melaleuca leucadendra, Lepironia articulate, Eleocharis sphacelata, Hymenachne, Leersia, and Pseudoraphis. In the deepest sections, which are inundated for the longest periods (6-8 months), there are Hymenachne acutigluma, Leersi Actinoscirpus, Pistia spp. and Nelumbo spp. In the shallow areas, that are not inundated all year, there are grasses Oryza rufipogon sens. lat. and Pseudoraphis spinescens, and sedges such as Eleocharis dulcis The most common plant species in Fogg Dam wetland specifically include reed beds, sedges (Cyperus), legumes (Sesbania cannabina), wild rice (Oryza spp.), grasses (Echinocloa, Paspaliumand Coelorachis), water lilies and red lilies.",Rich organic,NA,NA,NA,"Beringer, J., Livesley, S. J., Randle, J. and Hutley, L. B.: Carbon dioxide fluxes dominate the greenhouse gas exchanges of a seasonal wetland in the wet–dry tropics of northern Australia, Agric. For. Meteorol., 182–183, 239–247, 2013."
32,AU-Gin,FALSE,NA,"2,6,14","0.23,0.66,0.11","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",,"Active, core measurements presently being made",Australia,Gingin,-31.375,115.65,51,WSA,Woody Savannas,1,15,15,6.8,"The site is a natural woodland of high species diversity. The overstorey is dominated by Banksia spp. mainly B. menziesii, B. attenuata, and B. grandis.","The soils are mainly Podosol sands, with low moisture holding capacity. Field capacity typically about 8 to 10%, and in summer these generally hold less than 2% moisture.",NA,NA,NA,
33,AU-GWW,FALSE,NA,"2,6,14","0.11,0.50,0.39","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)","The flux tower site was classified as a seasonally flooded wetland. The vegetation was dominated by species�Oryza rufipogon, Pseudoraphis spinescens and Eleocharis dulcis. Elevation of the site was close to 4m and mean annual precipitation from a nearby Bureau of Meteorology site measured 1411mm.","Active, core measurements presently being made",Australia,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,504,SAV,Savannas,1,35,36,18,Salmon gum (Eucalyptus salmonophloia),Heavy gravelly red clay,NA,NA,NA,
34,AU-How,FALSE,NA,"2,6,7,14","0.21,0.14,0.58,0.07","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",,"Active, core measurements presently being made",Australia,Howard Springs,-12.4952,131.15,41,WSA,Woody Savannas,1,23,23,16,Open woodland savanna. The overstory is co-dominated by tree species Eucalyptus miniata and Eucalyptus tentrodonata.,"Red kandasol. Soil- Clay: 4.10% (volume <1um); Silt: 37.90% (volume <1um); Sand: 57.93% (volume <1um); Sand (>1 um): 7.45% (total weight)
",Fires,NA,NA,"Beringer, J., Hutley, L. B., Tapper, N. J. and Cernusak, L. A.: Savanna fires and their impact on net ecosystem productivity in North Australia, Glob. Chang. Biol., 13(5), 990–1004, 2007."
35,AU-Jan,NA,NA,5,,,"Maximum temperatures ranged from 31.3�C (in June and July) to 35.6�C (in October), while minimum temperatures ranged from 14.9�C (in July) to 23.9�C (in December and February). Maximum temperatures varied on a seasonal basis by approximately 4.3�C and minimum temperatures by 9.0�C.","Inactive, core measurements no longer being made",Australia,Janina,-30.07667,144.13639,87,OSH,Open Shrublands,NA,NA,NA,NA,,,,,,
36,AU-Lit,NA,NA,"2,6,7,14","0.18,0.15,0.60,0.07","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",,"Active, core measurements presently being made",Australia,Litchfield,-13.17904,130.7945,200,WSA,Woody Savannas,1,30,40,16,relatively uniform open-forest savanna,NA,NA,NA,NA,
37,AU-Lon,NA,NA,7,1,Anna (based on veg type provided in original netcdf file),"The flux station is located at Rosebank Station, approximately 11 km south-east of Longreach in Queensland. The site is arid tussock grassland with a variety of grass species including�Astrebla lappacea�and�Astrebla squarrosa�over black vertosol soil that supports sheep and beef cattle grazing. Traditional owners at this site are the Iningai people.",NA,Australia,Longreach,-23.52326576,144.3104157,157,GRA,Grasslands,NA,NA,4.25,0.5,arid tussock grassland with a variety of grass species including Astrebla lappacea and Astrebla squarrosa (Mitchell Grass),black vertosol soil (Clay),,,,
38,AU-Lox,FALSE,NA,4,1,IGBP,"The instrument mast was 15m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation were measured above the canopy. Soil heat fluxes were measured and soil moisture content was gathered using time domain reflectometry.",NA,Australia,Loxton,-34.4704,140.6551,62,DBF,Deciduous Broadleaf Forests,1,10,10,5.5,Almond orchard,"Between 0 and 30 cm the soil was a loamy sand with nil reaction to acid, from 30 to 50 cm it was a loamy sand with medium reaction to acid, from 50 to 85 cm it was a sandy loam and from 85 to 170 cm a sandy clay loam; below 50 cm depth soils had a very strong reaction to acid, which indicates high calcium carbonate content. ","Fertigation and herbicides, Orchard was planted in 2000.  ",Almond varieties,High-frequency,"Stevens, R. M., Ewenz, C. M., Grigson, G. and Conner, S. M.: Water use by an irrigated almond orchard, Irrig. Sci., 30(3), 189–200, 2012."
39,AU-Meb,NA,NA,15,1,IGBP,,"Active, core measurements presently being made",Australia,Melbourne (Preston),-37.73056,145.01468,107,NA,Urban and Built-Up,NA,NA,NA,NA,,,,,,
40,AU-Nim,NA,NA,NA,,,"Ancillary measurements taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, N and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out across the transect in September 2008.","Active, core measurements presently being made",Australia,Nimmo Plains,-36.2159,148.5525,1247,GRA,Grasslands,NA,NA,NA,NA,,,,,,
41,AU-Otw,NA,NA,6,1,IGBP,"The Otway flux station is located at Narrinda South in south west Victoria, Australia (elevation 54m).  The pasture is grazed by dairy cattle with average grass height of 0.1m.  Annual average rainfall at the site is around 800mm and is only moderately seasonal. Mean daily temperature ranges from 25__�C in February to 12__�C in July.  The flux station is situated on a 10m tower. Fluxes of heat, water vapour and carbon dioxide are measured using the open-path eddy covariance technique. Supplementary measurements include temperature, humidity, rainfall, total solar, photosynthetically active radiation (PAR) and net radiation. Soil temperature and heat flux are also measured.","Active, core measurements presently being made",Australia,Otway,-38.53234,142.81681,54,GRA,Grasslands,NA,9,10,0.1,The pasture was grazed by dairy cattle with average grass height of 0.1m.,,,,,
42,AU-RDF,FALSE,NA,NA,,,NA,NA,Australia,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,237,WSA,Woody Savannas,1,NA,21,3,Watermelon farm,Red kandasol,Cultivated in 2013,Watermelon,NA,"Bristow, M., Hutley, L. B., Beringer, J., Livesley, S. J., Edwards, A. C. and Arndt, S. K.: Quantifying the relative importance of greenhouse gas emissions from current and future savanna land use change across northern Australia, Biogeosciences, 13(22), 6285–6303, 2016."
43,AU-Rgf,NA,NA,NA,,,"The Ridgefield flux station is located approximately 12km west of Pingelly, near Perth, Western Australia.  The site is established in a typical wheat field (a dominant managed land use type in Western Australia) and in an area that has been subject to extensive clearing. The flux tower site is located within an area of dryland agriculture. The instrument mast is 10 meters tall. Heat, water vapour, carbon dioxide and methane measurements are taken using the open-path eddy flux technique.","Active, core measurements presently being made",Australia,Ridgefield,-32.5061,116.96683,304,CRO,Croplands,NA,NA,10,1,Wheat,,,,,
44,AU-Rig,FALSE,NA,6,1,"Anna (see ref, C4 fraction from International Satellite Land Surface Climatology
381 Project Initiative II)","The Riggs Creek flux station is located within the Goulburn-Broken catchment, approximately 40km south east of Shepparton, Victoria. The flux tower site is located within an area of dryland agriculture. The surrounding area is dominated by broadacre farming practices. The vegetation cover is predominantly pasture. The instrument mast is 4 meters tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique.","Active, core measurements presently being made",Australia,Riggs Creek,-36.6499,145.5759,133,GRA,Grasslands,1,2.5,5,0.4,Dryland agriculture. The surrounding area is dominated by broadacre farming practices. The vegetation cover is predominantly pasture.,NA,NA,NA,NA,"Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and"
